iter	RMSE
0	1.155784851
1	1.141729925
2	1.127662442
3	1.114462802
4	1.100556368
5	1.091496407
6	1.079742247
7	1.069035986
8	1.059050276
9	1.050532219
10	1.043464835
11	1.036648711
12	1.028390459
13	1.022794541
14	1.016540073
15	1.011726659
16	1.004025382
17	0.9983386736
18	0.9920219159
19	0.9876857224
20	0.9830565621
21	0.9780191273
22	0.9732029505
23	0.9682965598
24	0.9629582685
25	0.9584553209
26	0.9549076519
27	0.9498991053
28	0.9451709911
29	0.9411155566
30	0.9374109205
31	0.9345765777
32	0.9302573821
33	0.9276589434
34	0.9244455305
35	0.9230131873
36	0.9189145382
37	0.9145308535
38	0.912295156
39	0.908154797
40	0.9059356101
41	0.9037380011
42	0.9014848158
43	0.8989104238
44	0.8953824446
45	0.8925892117
46	0.8892511797
47	0.8873973226
48	0.8859379913
49	0.8842439601
50	0.8823362226
51	0.8797946907
52	0.8767560098
53	0.874931865
54	0.8735865071
55	0.8717682899
56	0.8696019425
57	0.8669611447
58	0.8646080513
59	0.8621069146
60	0.8595202325
61	0.8578403387
62	0.8553098668
63	0.8535814962
64	0.8513425365
65	0.8481000166
66	0.8467583796
67	0.8433378457
68	0.8419264512
69	0.8403577327
70	0.8384651009
71	0.8368793122
72	0.8351209369
73	0.8336020262
74	0.8328542901
75	0.8308998472
76	0.8295234124
77	0.8277894063
78	0.82594437
79	0.8243203108
80	0.8228270044
81	0.8197413893
82	0.8180832991
83	0.8153154813
84	0.813421452
85	0.8111554859
86	0.8089644897
87	0.807300761
88	0.8053478903
89	0.8029316039
90	0.8009546342
91	0.7994955185
92	0.7969224705
93	0.7953040204
94	0.7939833464
95	0.7926688714
96	0.7915714676
97	0.7906979194
98	0.7889762553
99	0.7867013416
100	0.7849229299
101	0.7831890294
102	0.782349485
103	0.7815237168
104	0.7797585833
105	0.7790638919
106	0.777349583
107	0.7765004247
108	0.7746449875
109	0.7725297625
110	0.7705983563
111	0.7693573937
112	0.7676981628
113	0.7669511881
114	0.7658453841
115	0.7644883648
116	0.7630712258
117	0.7613442914
118	0.7596014526
119	0.7571503546
120	0.7564448897
121	0.7553253443
122	0.7546598122
123	0.7528833112
124	0.7508262038
125	0.7499679553
126	0.7479793477
127	0.7466667137
128	0.7450782088
129	0.7432641589
130	0.7414102831
131	0.7399997003
132	0.7392746215
133	0.7372183665
134	0.7352399158
135	0.7343113992
136	0.7332073088
137	0.7313767457
138	0.7296445259
139	0.7286712241
140	0.7273789276
141	0.7257458425
142	0.723402184
143	0.7223619843
144	0.7205129307
145	0.7182633725
146	0.7172654631
147	0.7158447289
148	0.7144593203
149	0.7123733276
150	0.7113299595
151	0.7104422352
152	0.7086122351
153	0.7075114751
154	0.7064145891
155	0.7051911473
156	0.7034077474
157	0.7022627824
158	0.7007829251
159	0.7003167403
160	0.6985735693
161	0.6971807244
162	0.6958661552
163	0.6950527728
164	0.694381725
165	0.6928755348
166	0.6907171184
167	0.6897694031
168	0.6880100032
169	0.6868249614
170	0.6853789907
171	0.6834830031
