iter	Passed	Remaining
0	152	151974
1	154	77059
2	156	52160
3	159	39677
4	162	32410
5	164	27185
6	166	23592
7	168	20881
8	170	18767
9	173	17142
10	175	15793
11	179	14745
12	181	13759
13	182	12871
14	184	12122
15	186	11474
16	189	10986
17	191	10450
18	194	10049
19	196	9622
20	197	9226
21	199	8861
22	201	8543
23	203	8268
24	206	8035
25	207	7786
26	210	7585
27	212	7365
28	213	7151
29	214	6949
30	216	6760
31	217	6588
32	219	6428
33	220	6275
34	222	6132
35	224	6014
36	226	5891
37	227	5771
38	229	5652
39	231	5544
40	232	5447
41	235	5367
42	237	5283
43	239	5205
44	242	5142
45	244	5060
46	245	4975
47	246	4894
48	248	4817
49	249	4743
50	251	4672
51	252	4602
52	253	4537
53	256	4493
54	257	4431
55	259	4377
56	261	4321
57	262	4266
58	264	4214
59	266	4176
60	268	4139
61	270	4099
62	273	4064
63	275	4022
64	276	3977
65	278	3935
66	279	3892
67	281	3852
68	282	3812
69	284	3773
70	285	3733
71	287	3707
72	289	3672
73	290	3638
74	292	3605
75	293	3573
76	295	3539
77	297	3518
78	300	3498
79	302	3482
80	304	3458
81	306	3429
82	307	3400
83	309	3371
84	310	3345
85	312	3317
86	313	3289
87	314	3263
88	316	3238
89	318	3224
90	320	3201
91	321	3174
92	323	3150
93	324	3126
94	325	3104
95	327	3087
96	330	3074
97	332	3057
98	334	3047
99	336	3032
100	338	3012
101	339	2991
102	341	2973
103	342	2954
104	344	2936
105	345	2916
106	347	2897
107	348	2878
108	350	2867
109	352	2849
110	353	2832
111	355	2815
112	356	2801
113	359	2797
114	363	2795
115	365	2789
116	368	2779
117	369	2764
118	371	2749
119	372	2733
120	374	2717
121	375	2702
122	376	2686
123	378	2672
124	379	2657
125	382	2650
126	383	2636
127	385	2625
128	387	2613
129	388	2602
130	392	2600
131	394	2592
132	398	2594
133	400	2585
134	401	2573
135	403	2561
136	404	2549
137	406	2538
138	407	2526
139	409	2515
140	412	2510
141	414	2503
142	415	2493
143	417	2482
144	419	2472
145	421	2466
146	423	2459
147	426	2455
148	431	2462
149	433	2454
150	435	2446
151	437	2438
152	438	2428
153	440	2417
154	443	2417
155	445	2408
156	447	2400
157	448	2390
158	450	2381
159	453	2379
160	456	2377
161	460	2379
162	462	2373
163	463	2364
164	465	2355
165	467	2346
166	468	2337
167	470	2328
168	471	2319
169	475	2319
170	477	2312
171	478	2304
172	480	2296
173	482	2288
174	486	2293
175	491	2301
176	494	2297
177	495	2289
178	497	2282
179	499	2276
180	501	2269
181	503	2261
182	507	2267
183	510	2262
184	511	2255
185	514	2252
186	516	2247
187	518	2241
188	523	2248
189	525	2240
190	527	2232
191	528	2224
192	530	2217
193	531	2209
194	533	2201
195	534	2193
196	538	2194
197	540	2188
198	542	2182
199	544	2176
200	546	2171
201	548	2166
202	550	2161
203	554	2162
204	556	2158
205	558	2151
206	559	2144
207	561	2137
208	562	2130
209	564	2122
210	565	2115
211	569	2115
212	570	2109
213	572	2102
214	574	2096
215	576	2090
216	579	2090
217	581	2085
218	585	2086
219	588	2085
220	589	2078
221	591	2072
222	593	2066
223	594	2059
224	595	2052
225	597	2047
226	600	2045
227	602	2039
228	603	2032
229	605	2025
230	606	2019
231	608	2015
232	611	2011
233	613	2008
234	616	2005
235	617	1999
236	619	1993
237	620	1987
238	622	1980
239	623	1974
240	624	1968
241	626	1961
242	627	1955
243	630	1952
244	631	1946
245	633	1941
246	635	1936
247	636	1931
248	638	1926
249	641	1923
250	643	1920
251	658	1953
252	659	1947
253	662	1944
254	663	1939
255	665	1932
256	666	1926
257	667	1920
258	669	1914
259	671	1910
260	673	1908
261	675	1902
262	678	1902
263	680	1896
264	681	1891
265	683	1885
266	684	1880
267	686	1875
268	688	1870
269	689	1864
270	691	1858
271	693	1856
272	695	1851
273	696	1845
274	698	1840
275	699	1835
276	701	1830
277	703	1826
278	705	1823
279	706	1817
280	710	1816
281	712	1812
282	713	1807
283	714	1802
284	716	1797
285	717	1792
286	719	1787
287	720	1781
288	722	1776
289	724	1773
290	725	1768
291	727	1763
292	728	1758
293	730	1753
294	732	1749
295	736	1752
296	738	1748
297	741	1746
298	743	1742
299	744	1737
300	746	1733
301	747	1728
302	749	1723
303	750	1718
304	751	1713
305	753	1708
306	755	1705
307	757	1701
308	758	1696
309	760	1691
310	761	1687
311	763	1682
312	764	1678
313	767	1675
314	768	1672
315	771	1670
316	773	1667
317	775	1663
318	776	1658
319	778	1654
320	780	1651
321	784	1651
322	788	1652
323	790	1648
324	791	1644
325	793	1639
326	794	1635
327	797	1633
328	799	1630
329	801	1626
330	804	1625
331	806	1621
332	807	1617
333	808	1612
334	810	1608
335	811	1603
336	813	1599
337	814	1595
338	816	1591
339	818	1589
340	820	1584
341	821	1580
342	823	1576
343	824	1572
344	826	1568
345	828	1565
346	831	1564
347	834	1563
348	836	1561
349	838	1557
350	840	1553
351	841	1549
352	843	1545
353	844	1541
354	846	1537
355	847	1533
356	850	1531
357	851	1527
358	853	1524
359	854	1519
360	856	1516
361	858	1512
362	860	1510
363	862	1507
364	865	1505
365	867	1503
366	869	1499
367	871	1496
368	872	1492
369	874	1488
370	875	1484
371	877	1481
372	878	1477
373	882	1476
374	884	1473
375	885	1469
376	887	1466
377	888	1462
378	891	1460
379	893	1458
380	897	1457
381	899	1455
382	901	1452
383	903	1448
384	904	1445
385	906	1441
386	907	1437
387	909	1434
388	911	1432
389	913	1428
390	914	1424
391	916	1421
392	918	1418
393	919	1414
394	923	1413
395	926	1413
396	931	1414
397	933	1411
398	934	1408
399	936	1405
400	938	1401
401	940	1398
402	942	1396
403	946	1395
404	948	1393
405	950	1390
406	955	1392
407	961	1395
408	965	1394
409	967	1392
410	969	1389
411	972	1387
412	977	1388
413	979	1386
414	981	1383
415	985	1383
416	988	1381
417	995	1385
418	997	1382
419	998	1379
420	1001	1377
421	1002	1373
422	1004	1370
423	1008	1370
424	1010	1367
425	1012	1364
426	1014	1361
427	1019	1362
428	1025	1364
429	1027	1361
430	1029	1358
431	1032	1357
432	1034	1354
433	1035	1350
434	1039	1349
435	1042	1348
436	1044	1345
437	1047	1343
438	1050	1343
439	1056	1344
440	1059	1343
441	1061	1339
442	1063	1336
443	1064	1333
444	1066	1329
445	1067	1325
446	1070	1324
447	1072	1321
448	1074	1318
449	1075	1315
450	1078	1312
451	1082	1312
452	1090	1316
453	1092	1313
454	1094	1310
455	1095	1307
456	1097	1304
457	1099	1300
458	1103	1300
459	1105	1297
460	1107	1295
461	1109	1292
462	1113	1291
463	1118	1291
464	1120	1289
465	1122	1286
466	1124	1283
467	1126	1280
468	1128	1277
469	1129	1274
470	1135	1275
471	1137	1272
472	1139	1269
473	1141	1266
474	1145	1266
475	1152	1268
476	1154	1265
477	1155	1261
478	1157	1258
479	1158	1255
480	1160	1251
481	1162	1249
482	1165	1247
483	1167	1244
484	1169	1241
485	1170	1238
486	1172	1235
487	1174	1232
488	1177	1230
489	1180	1229
490	1183	1227
491	1185	1224
492	1186	1220
493	1188	1217
494	1189	1213
495	1191	1210
496	1192	1207
497	1194	1204
498	1196	1201
499	1198	1198
500	1200	1195
501	1201	1192
502	1203	1188
503	1205	1186
504	1208	1184
505	1211	1182
